"name","description","owner","is_private","url","updated_at","created_at","license","primary_language","homepage_url","is_fork","created_year","license_dummy","primary_language_ext","primary_language_ext2","homepage_url_dummy","publication_type"
"mwfertiliserpilot","Data from fertilizer management survey pilot in Ntonda EPA, Malawi.","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/mwfertiliserpilot","2025-03-04","2024-08-06","Creative Commons Attribution 4.0 International","R",NA,FALSE,2024,FALSE,"R","R","No homepage","Code"
"wtp-waste-cape-maclear",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/wtp-waste-cape-maclear","2025-02-04","2024-06-28","Creative Commons Attribution 4.0 International","Stata",NA,FALSE,2024,FALSE,"Stata","Other language","No homepage","Code"
"grasp",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/grasp","2024-12-30","2024-10-29","Creative Commons Attribution 4.0 International","Python",NA,FALSE,2024,FALSE,"Python","Python","No homepage","Code"
"waste-soil-composting-cape-maclear","This dataset contains information on waste characterization and quantification, current soil conditions, and agricultural practices of farmers from Cape Maclear, Malawi.","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/waste-soil-composting-cape-maclear","2024-11-15","2024-05-22","Creative Commons Attribution 4.0 International",NA,NA,FALSE,2024,FALSE,"No primary language","No primary language","No homepage","Code"
"solar-pasteurizer-v1",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/solar-pasteurizer-v1","2024-10-29","2024-10-09","Creative Commons Attribution 4.0 International","Jupyter Notebook",NA,FALSE,2024,FALSE,"Python","Python","No homepage","Code"
"biogas-powered-pasteurizer-modeling",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/biogas-powered-pasteurizer-modeling","2025-09-23","2024-09-17","Creative Commons Attribution 4.0 International","MATLAB",NA,FALSE,2024,FALSE,"MATLAB","Other language","No homepage","Code"
"arduino-opc-portable-and-sationary",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/arduino-opc-portable-and-sationary","2024-09-18","2023-12-20","Creative Commons Attribution 4.0 International","C++",NA,FALSE,2023,FALSE,"C++","Other language","No homepage","Code"
"biogas-meter",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/biogas-meter","2024-09-03","2024-01-24","Creative Commons Attribution 4.0 International","Python",NA,FALSE,2024,FALSE,"Python","Python","No homepage","Code"
"glass-crusher-design",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/glass-crusher-design","2024-07-16","2024-03-26","Creative Commons Attribution 4.0 International","SCSS","https://global-health-engineering.github.io/glass-crusher-design/",FALSE,2024,FALSE,"SCSS","Other language","Homepage","Code"
"pre-cleaning-system-design-for-HDPE-bottles","This repository contains the technical documentation of the prototype station for pre-cleaning of the HDPE bottles. The station aims to provide a sustainable solution for enhancing the recycling processes in low-resource settings.","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/pre-cleaning-system-design-for-HDPE-bottles","2024-07-16","2024-03-05","Creative Commons Attribution 4.0 International","JavaScript","https://global-health-engineering.github.io/pre-cleaning-system-design-for-HDPE-bottles/",FALSE,2024,FALSE,"JavaScript","Other language","Homepage","Code"
"blog-black-carbon","A blog post for Global Health Engineering group.","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/blog-black-carbon","2024-07-15","2024-07-10",NA,"JavaScript","https://ghe-open.ch/blog/posts/2024-07-16-black-carbon",FALSE,2024,TRUE,"JavaScript","Other language","Homepage","Code"
"bcsa","The bcsa package provide datasets for source apportionment of light      absorbing carbon (LAC) in Blantyre, Malawi. The package contains data on      Absorption Angstrom Exponent experiments determination of local pollution      sources. The package also contains data on spatial distribution and ambient concentrations of LAC concentrations. ","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/bcsa","2024-07-08","2023-09-04","Creative Commons Attribution 4.0 International","R","https://global-health-engineering.github.io/bcsa/",FALSE,2023,FALSE,"R","R","Homepage","Code"
"GHE-data-logger",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/GHE-data-logger","2024-11-13","2024-06-21","Creative Commons Attribution 4.0 International","C++","https://global-health-engineering.github.io/GHE-data-logger/",FALSE,2024,FALSE,"C++","Other language","Homepage","Code"
"prop-eth-ord-contribute-openaq",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/prop-eth-ord-contribute-openaq","2024-07-03","2024-03-19","Creative Commons Attribution 4.0 International","TeX",NA,FALSE,2024,FALSE,"TeX","Other language","No homepage","Code"
