uuid,name,doi,doi_dummy,publication_type,publication_type_group,date_issued,year,license,license_short,license_short_group
e6367334-6883-4c7b-8db7-14d7e8041845,The Establishment of an Absorbent Hygiene Product Waste Collection System in Two Informal Settlements in South Africa,https://doi.org/10.3929/ethz-b-000668151,Has DOI,Student Paper,Student Paper,2024-03,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
efa0d349-f5fb-4bb3-8527-c3ffa7be154a,"Research Beyond the Lab, Spring Term 2022, Global Health Engineering, ETH Zurich",,No DOI,Data Collection,Dataset,2022-11-17,2022,No license,No license,No license
efb8d9e7-9838-4ed0-99bd-cd1c0f95ad26,"wasteskipsblantyre: Locations of Public Waste Skips in Blantyre, Malawi",,No DOI,Dataset,Dataset,2023-09-08,2023,No license,No license,No license
00ade485-2690-4ef8-811a-33359ba40a8c,"Waste Logistics and Transport Modelling in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-b-000670970,Has DOI,Master Thesis,Student Paper,2024-05,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
b0143360-8b60-4dd0-9aec-e980d1306f16,Assessment of Decontamination and Reuse of Disposable Filter Funnels Used in Microbiological Water Quality Tests,https://doi.org/10.3929/ethz-b-000493511,Has DOI,Journal Article,Scientific Article,2021-05-28,2021,Creative Commons Attribution-NonCommercial 4.0 International,CC BY-NC 4.0,CC BY 4.0
aebc8666-b968-4626-b070-182f5e94dd69,Psychosocial factors associated with intention to pursue tertiary education among Malawian students: the moderating effect of mental health,https://doi.org/10.3929/ethz-b-000660121,Has DOI,Journal Article,Scientific Article,2024-02-09,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
b3711a61-a987-4aea-98b1-554649098530,Sensing improved cookstoves to estimate CO2 emission reduction,,No DOI,Other Research Data,Other publication,2025-05-19,2025,No license,No license,No license
e43892eb-8d10-4b40-8251-4e3691ea495e,"Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000658745,Has DOI,Master Thesis,Student Paper,2024-01-08,2024,Creative Commons Attribution-NonCommercial 4.0 International,CC BY-NC 4.0,CC BY 4.0
db552661-fc9b-4b4e-94b7-88f4ae4de3b9,"Improving Market Wash Stations Through Creative and Contextual Design in Durban, South Africa",https://doi.org/10.3929/ethz-b-000603034,Has DOI,Bachelor Thesis,Student Paper,2022-12-18,2022,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
da7e09e6-b512-4da0-a3c4-14fb17a74616,"Blood flows: mapping journeys of menstrual waste in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000493505,Has DOI,Journal Article,Scientific Article,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
e1ff3929-3468-467f-9662-69dd407755c7,Designing a small-scale screw press for blackwater dewatering,https://doi.org/10.3929/ethz-b-000595559,Has DOI,Student Paper,Student Paper,2023-01,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
e06c3a59-60be-4ac3-bce2-41b72d823420,Barriers to Waste Management Services Integration for Ethiopian and Eritrean Migrants within the City of Zürich,https://doi.org/10.3929/ethz-b-000637808,Has DOI,Working Paper,Other publication,2023-10,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
fa1b5d81-2534-4ef0-a7fb-78c1ee3821c5,"""You need to dispose of them somewhere safe"": Covid-19, masks, and the pit latrine in Malawi and South Africa",https://doi.org/10.3929/ethz-b-000535018,Has DOI,Journal Article,Scientific Article,2022-02-22,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
fa70ed8d-f821-4662-b54b-622ab2acfd2b,Low-cost compost screening technology to improve trash separation,https://doi.org/10.3929/ethz-b-000585004,Has DOI,Bachelor Thesis,Student Paper,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
17168d1e-8cce-4886-875f-a934272ccd70,"Technical Documentation: Low-Cost Glass Crusher for Cape Maclear, Malawi: Design, Maintenance, Operation, and Results",,No DOI,Other Research Data,Other publication,2024-05-23,2024,No license,No license,No license
10e599fd-f5b8-43e3-af0c-395b4d689f25,Volumetric flow meter development for household scale biogas reactors,https://doi.org/10.3929/ethz-b-000736181,Has DOI,Student Paper,Student Paper,2024-07,2024,Creative Commons Attribution-NonCommercial 4.0 International,CC BY-NC 4.0,CC BY 4.0
d34addb5-4ed5-44b9-aef6-36b5409a7215,"Conceptualising Reuse in African Households: Perspectives from Chembe, Malawi",https://doi.org/10.3929/ethz-b-000515462,Has DOI,Journal Article,Scientific Article,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
476b41a5-4681-474c-9350-70456325bfb3,"Feasibility of Waste Maize Husk Valorization as a Plastic Plate Replacement in Durban, South Africa",https://doi.org/10.3929/ethz-b-000582371,Has DOI,Bachelor Thesis,Student Paper,2022-10-14,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
2e4d8b72-b9eb-44cd-8183-2df25c1709d1,"Evaluating the potential of Extended Producer Responsibility returns for a small local waste collection company through a brand audit of riverine plastic waste in Durban, South Africa",https://doi.org/10.3929/ethz-b-000725312,Has DOI,Master Thesis,Student Paper,2023,2023,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
26c26167-62c6-4d08-b0e2-9ccc569828ba,"Advancements in and Integration of Water, Sanitation, and Solid Waste for Low- and Middle-Income Countries",https://doi.org/10.3929/ethz-b-000493527,Has DOI,Review Article,Scientific Article,2021-10,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
289c935d-85c8-47e0-aaa5-e86aef49e3e6,Consumption: the missing link towards phosphorus security,,No DOI,Book Chapter,Scientific Article,2022,2022,No license,No license,No license
29350107-2b2e-489f-a7ce-ace2efdbd121,Psychosocial factors associated with intention to pursue tertiary education among Malawian students: The moderating effect of mental health,https://doi.org/10.3929/ethz-b-000585694,Has DOI,Conference Poster,Other publication,2022-09-08,2022,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
11baf63e-91a3-467c-aba1-d432b89cf114,durbanplasticwaste: Durban (South Africa) Plastic Waste Data,,No DOI,Dataset,Dataset,2023-04-28,2023,No license,No license,No license
889167df-608f-4cdb-a5ca-1e73ac0805dd,"Urine-Diverting Dry Toilet Design, Manifacturing, and Performance Testing of Earth Concrete",https://doi.org/10.3929/ethz-b-000739725,Has DOI,Master Thesis,Student Paper,2025,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
87b2db5f-d46b-48e9-b166-9fc6b2eb8548,"""The rich will always be able to dispose of their waste"": a view from the frontlines of municipal failure in Makhanda, South Africa",https://doi.org/10.3929/ethz-b-000616728,Has DOI,Journal Article,Scientific Article,2024-07,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
8975ca6c-a7c6-4edb-8d9b-e6470b478786,Guidelines for Low-Cost Incineration Systems,https://doi.org/10.3929/ethz-b-000683821,Has DOI,Student Paper,Student Paper,2024,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
3db0768b-299f-4ad0-8a19-d2dec596abef,Design and Validation of a Thermal Disinfection Unit for Wastewater using Biogas in Humanitarian Crisis Situations,https://doi.org/10.3929/ethz-b-000603416,Has DOI,Student Paper,Student Paper,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
3dbdf159-0ae2-45e6-9065-4bc701e44ff3,Microbial community function and bacterial pathogen composition in pit latrines in peri-urban Malawi,https://doi.org/10.3929/ethz-b-000651611,Has DOI,Journal Article,Scientific Article,2023,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
45cfede4-6c1f-434c-bb9a-cf2b61514e4c,Phosphorus flow analysis for Malawi: Identifying potential sources of renewable phosphorus recovery,https://doi.org/10.3929/ethz-b-000491553,Has DOI,Journal Article,Scientific Article,2021-10,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
3e90996b-a2d2-43dc-9b57-6f270759d074,Detection of Contamination in Biowaste,https://doi.org/10.3929/ethz-b-000650492,Has DOI,Master Thesis,Student Paper,2024-01-05,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
6fc41cfd-d57f-452f-93ab-cbd62f439945,Evaluating self-reported measures and alternatives to monitor access to drinking water: A case study in Malawi,,No DOI,Journal Article,Scientific Article,2021-01-01,2021,No license,No license,No license
6e76e170-3019-4cfc-b0b0-af83aebbca1e,“Everything continued as normal”: What happened to Africa’s wave of Covid-19 waste?,,No DOI,Journal Article,Scientific Article,2021-02-01,2021,No license,No license,No license
6d48fb25-b8e8-4aae-b0b6-0ecaac021752,Effect of fruit and vegetable waste on anaerobic digestion using faecal sludge as primary feedstock,https://doi.org/10.3929/ethz-b-000587768,Has DOI,Master Thesis,Student Paper,2022,2022,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
