degree,type,b_m_student,start_date,end_date,year,status,eth_department,partner_organisation,thesis_title,data_publication_link,eth_collection_link
msc,sem-proj,yes,NA,2024-06-30,NA,archived,MAVT,NA,Volumetric flow meter development for household scale biogas reactors,,https://www.research-collection.ethz.ch/handle/20.500.11850/736181
msc,sem-proj,yes,NA,2024-06-16,NA,archived,MAVT,NA,Logging and transmitting remote data from cookstove and biogas sensors in Malawi,,NA
msc,thesis,yes,NA,2024-09-23,NA,archived,MAVT,NA,"Establishing the HDPE recycling process in Blantyre, Malawi",,https://doi.org/10.3929/ethz-b-000726504
msc,thesis,yes,NA,2024-10-01,NA,archived,MEST,NA,Sludge pasteurization with solar water heaters,,https://doi.org/10.3929/ethz-b-000700054
msc,thesis,yes,NA,2025-09-30,NA,archived,MAVT,Openversum,Advancing Sustainable Water Filtration: Enhancing Efficiency and Exploring New Adaptations,,NA
bsc,thesis,yes,NA,2024-08-01,NA,archived,MAVT,NA,Design of a Biogas powered effluent pasteurizer,,https://www.research-collection.ethz.ch/handle/20.500.11850/700639
msc,thesis,yes,NA,2024-11-06,NA,archived,MAVT,Eawag,Modelling and Optimization of an Evaportator-dehumidifier unit,,NA
msc,thesis,yes,NA,2024-11-01,NA,archived,HEST,NA,Exploratory analysis of the booking system in Kampala,,NA
msc,sem-proj,yes,NA,2024-06-07,NA,archived,MAVT,Eawag,Design optimisation of a mixing reactor for close to source urine stabilisation,,NA
phd,thesis,no,NA,NA,NA,in-progress,NA,NA,Potential for faecal sludge treatment with mycellium,,NA
staff,hiwi,no,NA,2024-12-31,NA,archived,ITET,NA,NA,,NA
staff,hiwi,no,NA,2024-09-30,NA,archived,MAVT,NA,NA,,NA
staff,scientific-assistant,no,NA,2024-10-31,NA,archived,MAVT,NA,NA,,NA
msc,sem-proj,yes,NA,2024-09-30,NA,archived,MAVT,NA,"Casing design, manufacturing and testing for in-situ biogas monitoring",,NA
msc,thesis,yes,NA,2025-03-31,NA,archived,MAVT,NA,Testing and Improving Plastic Wool Extrusion System,,NA
msc,thesis,yes,NA,2025-05-04,NA,archived,MAVT,NA,Biogas sensor development: from prototyping to production,,NA
